i-mobile,iqx2,7990,ขาว:ดำ,4 GB,i-mobile IQ X2 รองรับ 2 ซิมการ์ด จอแสดงผล TFT-LCD 16 ล้านสี ระบบสัมผัส Multi-Touch กว้าง 5 นิ้ว ความละเอียด 1920 x 1080 พิกเซล ระบบปฏิบัติการ: Android 4.2 (Jelly Bean)หน่วยประมวลผล : MTK 6589T Quad Core ความเร็ว 1.5 GHz กล้องดิจิตอล 18 ล้านพิกเซล พร้อมแฟลช LED กล้องหน้า ความละเอียด 8 ล้านพิกเซล รองรับ Video Call สนทนาแบบเห็นภาพ
i-mobile,iq 5.3,5790,ขาว:ดำ:เทา,4 GB,i-mobile IQ 5.3 รองรับ 2 ซิมการ์ด กว้าง 5 นิ้ว ความละเอียด 480 x 854 พิกเซล ระบบปฏิบัติการ: Android 4.2 (Jelly Bean) หน่วยประมวลผล Quad Core ความเร็ว 1.2 GHz กล้องดิจิตอล 12 ล้านพิกเซล กล้องหน้า ความละเอียด 5 ล้านพิกเซล
i-mobile,iq 9a,9490,ขาว:ดำ,4 GB,i-mobile IQ 9A รองรับการใช้งาน 2 ซิมการ์ดพร้อมกันภายในเครื่องเดียว ประมวลผลการทำงานด้วย Quad-Core Cortex-A7 Processor (ชิปเซ็ต MediaTek MTK6589) ความเร็วในการประมวลผล 1.2 GHz พร้อมระบบปฏิบัติการ Android OS เวอร์ชัน 4.2.1 (Jelly Bean) กล้องดิจิตอลด้านหลังของตัวเครื่อง ความละเอียดระดับ 13 ล้านพิกเซล ด้านหน้าของตัวเครื่อง ความละเอียดระดับ 8 ล้านพิกเซล
i-mobile,iq 9,9490,ขาว:ดำ,4 GB,i-mobile IQ 9A รองรับการใช้งาน 2 ซิมการ์ดพร้อมกันภายในเครื่องเดียว ประมวลผลการทำงานด้วย Quad-Core Cortex-A7 Processor (ชิปเซ็ต MediaTek MTK6589) ความเร็วในการประมวลผล 1.2 GHz พร้อมระบบปฏิบัติการ Android OS เวอร์ชัน 4.2.1 (Jelly Bean) กล้องดิจิตอลด้านหลังของตัวเครื่อง ความละเอียดระดับ 13 ล้านพิกเซล ด้านหน้าของตัวเครื่อง ความละเอียดระดับ 8 ล้านพิกเซล
i-mobile,i-style 7.1,3990,ขาว:ดำ,4 GB,i-mobile i-STYLE 7.1 รองรับ 2 ซิมการ์ด ขนาด: 127 × 65.5 × 11.9 มิลลิเมตร น้ำหนัก 132 กรัม ระบบปฏิบัติการ Android 4.1 (Jelly Bean) หน่วยประมวลผล Dual Core ความเร็ว : 1 GHz กล้องดิจิตอล 5 ล้านพิกเซล พร้อมแฟลช ซูมดิจิตอล (Digital Zoom) ปรับภาพอัตโนมัติ (Auto Focus) ค้นหาใบหน้าอัตโนมัติ (Face Detection) กล้องหน้า ความละเอียด 0.3 ล้านพิกเซล
i-mobile,iqxa,8790,ขาว:ดำ,4 GB,i-mobile IQ XA ประมวลผลการทำงานด้วย Quad-Core Cortex-A7 Processor (ชิปเซ็ต MediaTek MTK6589) ความเร็วในการประมวลผล 1.2 GHz พร้อมระบบปฏิบัติการ Android OS เวอร์ชัน 4.2.1 (Jelly Bean) กล้องด้านหลังของตัวเครื่อง ความละเอียดระดับ 18 ล้านพิกเซล(อาศัยซอฟต์แวร์ขยายความละเอียดของภาพจากความละเอียดจริงที่ 12.7 ล้านพิกเซล เทคนิคแบบ Interpolation) พร้อมกล้องด้านหน้า ความละเอียดระดับ 8 ล้าน Pixels
i-mobile,iqx,8790,ขาว:ดำ,4 GB,i-mobile IQ X สมาร์ทโฟนสเปคเยี่ยมกกับราคาเบาๆ จาก i-mobile ตอบสนองทุกความต้องการอย่างลงตัวด้วย ระบบปฏิบัติการ Android เวอร์ชั่น 4.2 รวดเร็วทันใจด้วยหน่วยประมวลผล Quad-core 1.2GHZ พร้อมหน้าจอ HD ขนาด 4.7 นิ้วและกล้องหลังความละเอียดมากถึง 18 ล้านพิกเซล ถ่ายภาพได้สวยคมชัดถูกใจคุณอย่างแน่นอน
i-mobile,iq 1.1,5300,ขาว:ดำ,4 GB,i-mobile IQ 1.1 รองรับ 2 ซิมการ์ด กว้าง 4.5 นิ้ว ความละเอียด 540 x 960 พิกเซล ระบบปฏิบัติการ: Android 4.1 (Jelly Bean) หน่วยประมวลผล : MSM8225Q Quad Core ความเร็ว 1.2 GHz กล้องดิจิตอล 8 ล้านพิกเซล พร้อมแฟลช ปรับภาพอัตโนมัติ (Auto Focus) กล้องหน้า  ความละเอียด 5 ล้านพิกเซล
lenovo,p780,9990,ดำ,4 GB,ตอบสนองยุคแห่งการติดต่อสื่อสาร ด้วย Lenovo P780 แอนดรอยด์โฟนราคาเบาๆ แต่เปี่ยมไปด้วยประสิทธิภาพ มาพร้อมหน้าจอขนาดใหญ่ถึง 5 นิ้ว รองรับการใช้งาน 2 ซิม โดยมีซีพียู Quad Core 1.2 GHz ระบบปฏิบัติการ Android 4.2 Jelly Bean ที่ตอบโจทย์การใช้งานมัลติมีเดียได้อย่างลงตัว มีพื้นที่หน่วยความจำภายใน 4GB
lenovo,s920 [4gb],6490,ขาว:ดำ,4 GB,สมาร์ทโฟนดีๆมาฝากกันอีกเช่นเคย แน่นอนมาวันนี้ไม่มามือเปล่าแต่มาพร้อมกับเจ้า Lenovo S920 สมาร์ทโฟนจากค่ายยักษ์ใหญ่คอมพิวเตอร์ หลายคนอาจสงสัยว่า เอ๊ะ!! Lenovo มาผลิตสมาร์ทโฟนแล้วมันจะดีเหมือนคอมพิวเตอร์รึป่าว ก่อนอื่นเลยมาทำความรู้จัก Lenovo S920 กันก่อน มาพร้อมกับระบบปฏิบัติการ Android 4.2 (Jelly Bean) หน่วยประมวลผล MTK 6589 Quad Core ความเร็ว : 1.2 GHz พร้อม RAM 1GB หน่วยความจำความจำ 4GB สเปคที่ให้ก็ถือว่าแรงพอตัวครับ
